seqnames	start	end	width	strand	intro_type	haplo_id
chr1	29780001	29800000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	260001	280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	21200001	21260000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	21360001	21420000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	23480001	23500000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	23900001	23920000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	24720001	24740000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	24860001	24880000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	26060001	26100000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	26300001	26320000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	26860001	26940000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	27100001	27160000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr2	28000001	28020000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	10580001	10600000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	10860001	10880000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	11080001	11100000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	11220001	11300000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	11440001	11520000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	11780001	11800000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	12000001	12020000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	12080001	12100000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	12300001	12320000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	13000001	13020000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	13260001	13300000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	13720001	13740000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	14000001	14020000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	14460001	14520000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	14680001	14700000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	14780001	14800000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	15000001	15220000	220000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	15340001	15420000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	16960001	16980000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	17140001	17160000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	21560001	21580000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	21740001	21760000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	21980001	22060000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	22280001	22460000	180000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	22700001	22720000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	22980001	23000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr3	23220001	23240000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	9680001	9700000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	9760001	9820000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	11160001	11180000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	11840001	11940000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	12180001	12200000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	12260001	12280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	12340001	12360000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	12440001	12460000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	12620001	12720000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	12860001	12920000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	17060001	17120000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	17280001	17340000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	18960001	19320000	360000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	21360001	21380000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	21580001	21600000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	22220001	22620000	400000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	22680001	22740000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	22820001	23320000	500000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	23440001	23540000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	23620001	23640000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	23800001	23900000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	24120001	24260000	140000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	24340001	24440000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	24540001	24620000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	24720001	24740000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	24880001	24900000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	25480001	25500000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	25740001	25760000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	25920001	25940000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	26100001	26320000	220000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	26380001	26500000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	27560001	27600000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	27840001	27980000	140000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	28460001	28500000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	28620001	28640000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	28780001	28860000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	29520001	29540000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	29960001	30000000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	30120001	30160000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	30600001	30620000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr4	31940001	32000000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	1020001	1040000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	1480001	1540000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	2720001	2760000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	3240001	3260000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	4300001	4380000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	4600001	4660000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	6500001	6520000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	6600001	6640000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	7800001	7860000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	7940001	8060000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	9120001	9200000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	9340001	9620000	280000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	10760001	10840000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	11120001	11140000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	11260001	11280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	11380001	11400000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	11880001	12120000	240000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	12260001	12420000	160000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	12540001	12960000	420000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	13980001	14000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	14100001	14180000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	14240001	14280000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	14400001	14420000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	15040001	15060000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	15740001	15800000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	15860001	15940000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	16000001	16040000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	16120001	16240000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	16300001	16340000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	16620001	16640000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	16700001	16840000	140000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	16960001	16980000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	17080001	17120000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	21040001	21060000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	21800001	21820000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	21900001	21920000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	22960001	22980000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr5	26380001	26420000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	2060001	2080000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	8840001	8860000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	10040001	10060000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	12180001	12200000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	13900001	16420000	2520000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	16500001	16560000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	16620001	16720000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	16840001	16940000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	17060001	17080000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	17340001	17420000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	17840001	17920000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	18080001	18100000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	18340001	18640000	300000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	19220001	19260000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	19400001	19420000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	19500001	19520000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	19760001	19780000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	19940001	19980000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	20940001	20960000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	21080001	21320000	240000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	21420001	21440000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	21500001	21520000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	21800001	21820000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	21980001	22000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	22160001	22180000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	22300001	22580000	280000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	22640001	22680000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	22800001	22920000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	23000001	23040000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	23100001	23120000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	23240001	23260000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	23320001	23340000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	23460001	23480000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	23540001	23560000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	23840001	23860000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	23960001	23980000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	24100001	24140000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	24260001	24280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	24400001	24420000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	24600001	24680000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr6	24780001	24820000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	260001	280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	1300001	1320000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	3940001	4020000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	4080001	4160000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	4960001	4980000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	6300001	6360000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	6420001	6480000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	7220001	7240000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	7760001	7800000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	8440001	8460000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	11200001	11240000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	11380001	11400000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	11780001	11900000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	11980001	12060000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	13040001	13060000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	13260001	13320000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	13800001	13820000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	13900001	13920000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	14300001	14320000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	14380001	14400000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	14620001	14700000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	14940001	14980000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	15360001	15380000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	16440001	16560000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	16660001	16720000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	17180001	17260000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr7	30840001	30860000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	760001	780000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	1200001	1220000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	1500001	1540000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	2000001	2020000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	2860001	3020000	160000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	3300001	3320000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	3640001	3660000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	3760001	3820000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	6840001	7080000	240000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	7180001	7200000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	9100001	9180000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	10960001	11000000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	11180001	11200000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	11700001	11720000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	12200001	12220000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	12280001	12300000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	12760001	12780000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	12880001	12920000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	12980001	13000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	13280001	13300000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	13360001	13380000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	13620001	13640000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	13780001	13800000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	14020001	14160000	140000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	14380001	14480000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	14740001	14780000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	15500001	15540000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	15600001	15620000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	15960001	15980000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	16080001	16100000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	16260001	16280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	16460001	16520000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	16660001	16700000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	16960001	17100000	140000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	17180001	17200000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	17980001	18000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr8	18860001	18880000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	1020001	1040000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	1800001	1880000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	2560001	2580000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	2740001	2760000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	2920001	3000000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	3280001	3300000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	9920001	9940000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	10600001	10620000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	11140001	11160000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	11280001	11300000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	11460001	11540000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	11660001	11680000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	11920001	11980000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	14000001	14100000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	14520001	14740000	220000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	14800001	14820000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	16260001	16280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	17500001	17520000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	21080001	21100000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr9	22060001	22080000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	9680001	9780000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	9840001	9900000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	9960001	10060000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	10120001	10140000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	10200001	10300000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	11260001	11360000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	11480001	11500000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	11600001	11640000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	11700001	11720000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	11800001	11820000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	11900001	11980000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	12180001	12200000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	12360001	12380000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	13340001	13360000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	13500001	13520000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	13580001	13600000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	13660001	13680000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	13740001	13760000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	13940001	14000000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	14160001	14200000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	15100001	15140000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	15400001	15420000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	15600001	15660000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	16980001	17000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	17340001	17400000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	17620001	17640000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	18160001	18180000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	18560001	18580000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	18720001	18740000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	20000001	20060000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	20320001	20340000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	20420001	20580000	160000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	21860001	21880000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	22780001	22860000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	23260001	23540000	280000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	23600001	23700000	100000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	24680001	24720000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	24820001	24940000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	25060001	25080000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	26360001	26400000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr10	27020001	27040000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr11	2700001	2720000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr11	2940001	2960000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr11	3020001	3100000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr11	3220001	3240000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr11	3420001	3480000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr11	3620001	3640000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr11	3780001	3820000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
